frame,rgyr,e2e,nhb,i3,i4,iL,bang_mean,bang_rms,tors_mean,alpha_frac,e_morse,e_angle,e_torsion,e_hydro,e_native,thermal,rmsd_native,rmsd_c1,rmsd_c2,rmsd_c3,rmsd_c4
340,9.0312,0.0000,220,43,41,136,93.81,40.94,4.67,0.345,25.4955,32.8232,254.2129,-1.7334,18.3994,0.8668,11.0539,11.0539,0.0000,0.0000,0.0000
350,9.0282,0.0000,217,37,48,132,93.89,40.81,4.57,0.352,25.4985,32.8200,254.8564,-1.7319,17.9600,0.8335,11.0521,11.0521,0.0000,0.0000,0.0000
360,9.0251,0.0000,223,41,44,138,93.99,40.92,4.71,0.355,25.0655,32.8050,254.5195,-1.7329,17.2913,0.8002,11.0503,11.0503,0.0000,0.0000,0.0000
370,9.0220,0.0000,227,49,42,136,94.11,41.06,4.88,0.359,24.4564,32.7977,254.3383,-1.7354,16.6112,0.7669,11.0484,11.0484,0.0000,0.0000,0.0000
380,9.0189,0.0000,220,43,45,132,94.31,41.32,3.64,0.362,24.0158,32.7611,254.2446,-1.7379,16.0464,0.7336,11.0465,11.0465,0.0000,0.0000,0.0000
390,9.0160,0.0000,221,44,44,133,94.42,41.54,6.28,0.362,23.5812,32.7533,254.3204,-1.7410,15.5160,0.7003,11.0447,11.0447,0.0000,0.0000,0.0000
400,9.0132,0.0000,221,50,36,135,94.33,41.58,7.47,0.372,23.3062,32.8259,253.6515,-1.7417,15.1091,0.6670,11.0430,11.0430,0.0000,0.0000,0.0000
410,9.0105,0.0000,225,49,41,135,94.27,41.52,6.27,0.366,22.8984,32.8990,254.0958,-1.7411,14.9089,0.6337,11.0413,11.0413,0.0000,0.0000,0.0000
420,9.0079,0.0000,219,42,43,134,94.28,41.67,6.33,0.359,22.4001,33.0112,253.6964,-1.7416,14.7703,0.6004,11.0396,11.0396,0.0000,0.0000,0.0000
430,9.0052,0.0000,219,44,40,135,94.34,41.84,3.88,0.362,21.9545,32.9611,253.2192,-1.7432,14.6310,0.5671,11.0380,11.0380,0.0000,0.0000,0.0000
440,9.0025,0.0000,221,44,44,133,94.49,41.91,4.05,0.359,21.6013,32.8052,253.6447,-1.7447,14.4745,0.5338,11.0363,11.0363,0.0000,0.0000,0.0000
450,8.9997,0.0000,220,45,45,130,94.69,41.91,2.86,0.355,21.2745,32.6205,254.0392,-1.7452,14.3738,0.5005,11.0346,11.0346,0.0000,0.0000,0.0000
460,8.9971,0.0000,220,42,45,133,94.90,41.91,-0.16,0.352,21.2779,32.3847,253.4814,-1.7431,14.2884,0.4672,11.0331,11.0331,0.0000,0.0000,0.0000
470,8.9945,0.0000,222,45,47,130,95.04,41.74,0.18,0.355,21.0035,32.0895,254.2605,-1.7390,14.4085,0.4339,11.0314,11.0314,0.0000,0.0000,0.0000
480,8.9919,0.0000,218,40,48,130,95.13,41.64,0.29,0.359,20.6408,31.8509,254.3213,-1.7381,14.2634,0.4006,11.0298,11.0298,0.0000,0.0000,0.0000
490,8.9894,0.0000,219,37,50,132,95.25,41.91,0.40,0.366,20.3608,31.7908,253.4935,-1.7395,14.0412,0.3673,11.0282,11.0282,0.0000,0.0000,0.0000
500,8.9869,0.0000,219,36,51,132,95.29,41.95,0.63,0.359,20.1095,31.8038,254.0558,-1.7408,13.8527,0.3340,11.0266,11.0266,0.0000,0.0000,0.0000
510,8.9845,0.0000,219,36,51,132,95.28,42.00,0.78,0.355,19.8563,31.7843,253.8023,-1.7427,13.7418,0.3007,11.0252,11.0252,0.0000,0.0000,0.0000
520,8.9821,0.0000,217,35,52,130,95.31,41.96,0.56,0.355,19.6304,31.6606,253.7187,-1.7421,13.6338,0.2674,11.0238,11.0238,0.0000,0.0000,0.0000
530,8.9797,0.0000,217,35,52,130,95.51,42.13,1.85,0.359,19.4758,31.5473,253.7742,-1.7416,13.5573,0.2341,11.0225,11.0225,0.0000,0.0000,0.0000
540,8.9775,0.0000,218,36,52,130,95.90,42.09,1.50,0.355,19.5209,31.2814,253.7842,-1.7463,13.3959,0.2008,11.0213,11.0213,0.0000,0.0000,0.0000
550,8.9753,0.0000,218,36,52,130,95.76,41.79,1.58,0.362,19.7124,31.1856,254.8769,-1.7474,13.1853,0.1675,11.0200,11.0200,0.0000,0.0000,0.0000
560,8.9730,0.0000,218,36,52,130,95.88,41.88,1.52,0.359,19.7071,31.1309,254.5108,-1.7434,13.0908,0.1342,11.0187,11.0187,0.0000,0.0000,0.0000
570,8.9707,0.0000,218,36,52,130,96.16,42.03,1.56,0.352,19.5066,30.9816,253.9062,-1.7406,13.0567,0.1009,11.0173,11.0173,0.0000,0.0000,0.0000
580,8.9684,0.0000,218,36,52,130,96.43,42.31,2.61,0.352,18.9689,30.8871,252.6524,-1.7414,13.0542,0.0676,11.0159,11.0159,0.0000,0.0000,0.0000
590,8.9661,0.0000,219,37,52,130,96.69,42.67,2.62,0.355,18.5171,30.8609,252.1314,-1.7425,12.9430,0.0343,11.0145,11.0145,0.0000,0.0000,0.0000
600,8.9639,0.0000,219,37,52,130,96.53,42.41,5.58,0.348,18.0934,30.8751,253.2214,-1.7429,13.0818,0.0010,11.0131,11.0131,0.0000,0.0000,0.0000
610,8.9618,0.0000,219,37,52,130,96.07,42.09,6.13,0.355,17.8571,30.9855,250.9479,-1.7448,13.1432,0.0343,11.0120,11.0120,0.0000,0.0000,0.0000
620,8.9596,0.0000,218,37,51,130,95.96,41.73,4.23,0.341,18.0047,30.7258,253.0523,-1.7462,12.9516,0.0676,11.0108,11.0108,0.0000,0.0000,0.0000
630,8.9575,0.0000,218,37,51,130,96.12,41.62,5.08,0.355,18.3622,30.4471,251.8720,-1.7438,12.9219,0.1009,11.0094,11.0094,0.0000,0.0000,0.0000
640,8.9554,0.0000,217,37,50,130,96.02,41.61,3.77,0.355,17.6957,30.3089,251.3354,-1.7439,12.7001,0.1342,11.0081,11.0081,0.0000,0.0000,0.0000
650,8.9532,0.0000,217,37,50,130,96.07,41.89,2.55,0.355,17.0740,30.2697,251.5038,-1.7453,12.6793,0.1675,11.0068,11.0068,0.0000,0.0000,0.0000
660,8.9509,0.0000,216,37,49,130,96.28,42.19,2.57,0.348,16.6696,30.2339,251.7718,-1.7463,12.4493,0.2008,11.0054,11.0054,0.0000,0.0000,0.0000
670,8.9487,0.0000,217,37,49,131,96.52,42.37,2.53,0.352,16.5002,30.1908,252.0462,-1.7456,12.2158,0.2341,11.0042,11.0042,0.0000,0.0000,0.0000
680,8.9466,0.0000,217,37,49,131,96.59,42.12,2.35,0.366,16.4233,30.0063,251.6170,-1.7429,12.0493,0.2674,11.0031,11.0031,0.0000,0.0000,0.0000
690,8.9446,0.0000,216,36,49,131,96.49,41.89,2.48,0.369,16.1529,29.9517,251.4093,-1.7420,11.9699,0.3007,11.0021,11.0021,0.0000,0.0000,0.0000
700,8.9426,0.0000,216,35,49,132,96.45,41.68,2.92,0.355,15.9074,29.9409,252.9532,-1.7396,11.8745,0.3340,11.0012,11.0012,0.0000,0.0000,0.0000
710,8.9406,0.0000,216,35,48,133,96.52,41.69,1.67,0.362,15.6931,29.8688,252.8586,-1.7383,11.7575,0.3673,11.0001,11.0001,0.0000,0.0000,0.0000
720,8.9387,0.0000,214,33,49,132,96.41,41.56,1.68,0.362,15.4943,29.7693,253.1637,-1.7370,11.6691,0.4006,10.9990,10.9990,0.0000,0.0000,0.0000
730,8.9367,0.0000,216,30,52,134,96.31,41.47,1.79,0.362,15.4660,29.7897,253.1384,-1.7377,11.6003,0.4339,10.9980,10.9980,0.0000,0.0000,0.0000
740,8.9347,0.0000,220,33,53,134,96.35,41.42,1.55,0.359,15.4827,29.7688,251.3751,-1.7375,11.6437,0.4672,10.9969,10.9969,0.0000,0.0000,0.0000
750,8.9328,0.0000,219,33,54,132,96.59,41.33,1.82,0.352,15.3296,29.5748,253.0961,-1.7376,11.6945,0.5005,10.9959,10.9959,0.0000,0.0000,0.0000
760,8.9308,0.0000,217,34,51,132,96.82,41.44,1.66,0.359,15.1290,29.4250,252.2527,-1.7393,11.6977,0.5338,10.9949,10.9949,0.0000,0.0000,0.0000
770,8.9288,0.0000,219,36,52,131,97.06,41.67,1.54,0.362,14.9290,29.3787,252.2376,-1.7408,11.5742,0.5671,10.9938,10.9938,0.0000,0.0000,0.0000
780,8.9269,0.0000,219,41,46,132,97.34,41.91,1.52,0.366,14.8445,29.3593,252.3500,-1.7401,11.4435,0.6004,10.9929,10.9929,0.0000,0.0000,0.0000
790,8.9250,0.0000,215,38,45,132,97.45,42.04,2.77,0.376,14.6595,29.3423,252.2925,-1.7403,11.3164,0.6337,10.9919,10.9919,0.0000,0.0000,0.0000
800,8.9233,0.0000,217,35,49,133,97.34,41.85,3.98,0.369,14.4691,29.2954,251.6094,-1.7409,11.2341,0.6670,10.9910,10.9910,0.0000,0.0000,0.0000
810,8.9215,0.0000,212,40,38,134,97.42,41.94,4.02,0.362,14.2544,29.2579,253.1815,-1.7413,11.1495,0.7003,10.9900,10.9901,0.0000,0.0000,0.0000
820,8.9197,0.0000,215,37,43,135,97.49,41.93,4.03,0.366,14.0418,29.1382,252.3963,-1.7416,11.0803,0.7336,10.9890,10.9890,0.0000,0.0000,0.0000
830,8.9180,0.0000,214,39,43,132,97.62,42.14,4.00,0.362,13.8520,29.0550,251.8037,-1.7413,11.0286,0.7669,10.9881,10.9881,0.0000,0.0000,0.0000
840,8.9162,0.0000,210,37,39,134,97.74,42.31,2.78,0.369,13.6686,29.0058,251.1130,-1.7412,10.9357,0.8002,10.9871,10.9871,0.0000,0.0000,0.0000
850,8.9145,0.0000,213,36,38,139,97.57,42.12,4.29,0.362,13.4280,28.9595,252.1395,-1.7419,10.7486,0.8335,10.9863,10.9863,0.0000,0.0000,0.0000
860,8.9130,0.0000,209,33,42,134,97.56,41.93,4.13,0.369,13.5203,28.9172,251.9977,-1.7447,10.6400,0.8668,10.9859,10.9859,0.0000,0.0000,0.0000
870,8.9113,0.0000,203,25,41,137,97.70,42.04,4.13,0.362,13.4507,28.8550,252.0145,-1.7456,10.5708,0.9001,10.9852,10.9852,0.0000,0.0000,0.0000
880,8.9095,0.0000,212,39,42,131,97.74,42.00,2.95,0.376,13.1567,28.8010,252.1115,-1.7468,10.5649,0.9334,10.9844,10.9844,0.0000,0.0000,0.0000
890,8.9077,0.0000,201,33,29,139,97.73,41.83,2.87,0.362,12.9577,28.7250,251.9246,-1.7470,10.6259,0.9667,10.9836,10.9836,0.0000,0.0000,0.0000
900,8.9059,0.0000,203,26,38,139,97.75,41.77,2.77,0.372,12.8294,28.6389,251.1350,-1.7479,10.6989,1.0000,10.9826,10.9826,0.0000,0.0000,0.0000
910,8.9041,0.0000,202,27,42,133,97.58,41.72,1.74,0.369,12.6474,28.7206,251.1390,-1.7480,10.6077,0.9667,10.9816,10.9816,0.0000,0.0000,0.0000
920,8.9023,0.0000,206,35,34,137,97.66,41.70,2.86,0.366,12.5435,28.6837,251.1696,-1.7475,10.6217,0.9334,10.9806,10.9806,0.0000,0.0000,0.0000
